model,files,fields_total,fields_correct,accuracy,cost_usd
gpt-4o,20,119,59,0.4958,0.2106
gpt-5-mini,20,119,76,0.6387,0.1443
gpt-5-nano,20,119,58,0.4874,0.0605
gpt-5,20,119,77,0.6471,1.1651
gpt-4o-mini,20,119,40,0.3361,0.2741
