stage,in_tok,out_tok,USD,EUR,secs
meta,37495,44,0.0057,0.0052,9.92
common_params,37561,47,0.0057,0.0052,5.017
cylindrical_params,37187,18,0.0056,0.0051,5.132
TOTAL,,,,0.0155,20.069
WALL,,,,,20.083
