stage,in_tok,out_tok,USD,EUR,secs
meta,37495,31,0.0056,0.0052,6.771
common_params,37561,65,0.0057,0.0052,9.45
cylindrical_params,37187,18,0.0056,0.0051,6.526
TOTAL,,,,0.0155,22.747
WALL,,,,,22.766
