stage,in_tok,out_tok,USD,EUR,secs
meta,37721,44,0.0057,0.0052,8.808
common_params,37897,64,0.0056,0.0052,4.369
cylindrical_params,37273,20,0.0056,0.0052,3.295
TOTAL,,,,0.0156,16.472
WALL,,,,,16.483
