stage,in_tok,out_tok,USD,EUR,secs
meta,37721,44,0.0057,0.0052,4.243
common_params,37897,66,0.0056,0.0052,4.823
cylindrical_params,37273,20,0.0056,0.0052,4.586
TOTAL,,,,0.0156,13.652
WALL,,,,,13.666
