stage,in_tok,out_tok,USD,EUR,secs
spring_type+wire_material,1929,37,0.0102,0.0094,13.153
wire_diameter,1826,20,0.0094,0.0087,6.987
free_length,1836,18,0.0095,0.0087,8.979
total_coils,1824,18,0.0094,0.0086,8.723
initial_closed_coils+final_closed_coils,1866,31,0.0098,0.009,10.106
pitch_insertion_coils+pitch_retraction_coils,1886,34,0.0099,0.0091,7.146
initial_diameter+central_diameter+final_diameter+initial_conical_coils+final_conical_coils+initial_coils_curvature+final_coils_curvature,2067,77,0.0115,0.0106,10.261
TOTAL,,,,0.0641,65.355
WALL,,,,,65.417
