stage,in_tok,out_tok,USD,EUR,secs
meta,2478,1317,0.0007,0.0006,17.852
common_params,2503,2230,0.001,0.0009,24.928
cylindrical_params,2374,1502,0.0007,0.0007,74.505
TOTAL,,,,0.0022,117.285
WALL,,,,,117.297
