stage,in_tok,out_tok,USD,EUR,secs
meta,2526,743,0.0004,0.0004,11.472
common_params,2551,3574,0.0016,0.0014,41.082
cylindrical_params,2422,1505,0.0007,0.0007,19.394
TOTAL,,,,0.0025,71.948
WALL,,,,,71.962
