stage,in_tok,out_tok,USD,EUR,secs
meta,2478,1641,0.0008,0.0007,16.237
common_params,2503,6332,0.0027,0.0024,54.581
cylindrical_params,2374,1376,0.0007,0.0006,14.839
TOTAL,,,,0.0037,85.657
WALL,,,,,85.671
