stage,in_tok,out_tok,USD,EUR,secs
meta,1908,1223,0.0029,0.0027,22.218
common_params,1974,888,0.0023,0.0021,16.376
cylindrical_params,1600,222,0.0008,0.0008,6.551
TOTAL,,,,0.0056,45.145
WALL,,,,,45.159
