stage,in_tok,out_tok,USD,EUR,secs
meta,1376,32,0.0038,0.0035,14.851
common_params,1401,45,0.004,0.0036,6.262
cylindrical_params,1272,24,0.0034,0.0031,3.69
TOTAL,,,,0.0102,24.803
WALL,,,,,24.816
