stage,in_tok,out_tok,USD,EUR,secs
meta,1991,32,0.0053,0.0049,3.476
common_params,2167,47,0.0059,0.0054,4.057
biconical_params,2140,58,0.0059,0.0055,4.286
TOTAL,,,,0.0158,11.819
WALL,,,,,11.834
