stage,in_tok,out_tok,USD,EUR,secs
meta,1991,31,0.0053,0.0049,8.839
common_params,2167,45,0.0046,0.0042,8.706
cylindrical_params,1543,24,0.0041,0.0038,5.922
TOTAL,,,,0.0129,23.467
WALL,,,,,23.486
