stage,in_tok,out_tok,USD,EUR,secs
meta,25772,44,0.0039,0.0036,3.415
common_params,25797,45,0.0039,0.0036,2.824
cylindrical_params,25668,20,0.0039,0.0036,2.489
TOTAL,,,,0.0108,8.728
WALL,,,,,8.74
