stage,in_tok,out_tok,USD,EUR,secs
meta,25772,33,0.0039,0.0036,2.767
common_params,25797,66,0.0039,0.0036,3.139
cylindrical_params,25668,20,0.0039,0.0036,1.877
TOTAL,,,,0.0108,7.783
WALL,,,,,7.793
