stage,in_tok,out_tok,USD,EUR,secs
meta,37106,31,0.0056,0.0051,5.523
common_params,37131,66,0.0056,0.0052,4.331
cylindrical_params,37002,18,0.0056,0.0051,7.814
TOTAL,,,,0.0154,17.668
WALL,,,,,17.677
