stage,in_tok,out_tok,USD,EUR,secs
meta,2868,1253,0.0006,0.0006,12.446
common_params,2934,2104,0.001,0.0009,20.411
cylindrical_params,2560,1692,0.0008,0.0007,16.69
TOTAL,,,,0.0022,49.547
WALL,,,,,49.563
