stage,in_tok,out_tok,USD,EUR,secs
meta,2868,1767,0.0009,0.0008,24.874
common_params,2934,3064,0.0014,0.0013,28.154
cylindrical_params,2560,1695,0.0008,0.0007,17.1
TOTAL,,,,0.0028,70.128
WALL,,,,,70.147
