stage,in_tok,out_tok,USD,EUR,secs
meta,2103,1191,0.0006,0.0005,11.204
common_params,2169,2036,0.0009,0.0008,72.703
cylindrical_params,1795,1695,0.0008,0.0007,14.44
TOTAL,,,,0.002,98.347
WALL,,,,,98.359
