stage,in_tok,out_tok,USD,EUR,secs
meta,2868,2151,0.001,0.0009,22.75
common_params,2934,2424,0.0011,0.001,22.797
cylindrical_params,2560,1246,0.0006,0.0006,15.162
TOTAL,,,,0.0025,60.709
WALL,,,,,60.719
