stage,in_tok,out_tok,USD,EUR,secs
meta,1795,1000,0.0122,0.0113,17.024
common_params,1971,2360,0.0261,0.024,38.87
cylindrical_params,1347,1120,0.0129,0.0119,23.204
TOTAL,,,,0.0472,79.098
WALL,,,,,79.112
