model,files_exp0,fields_total_exp0,fields_correct_exp0,accuracy_exp0,cost_usd_exp0,files_exp1,fields_total_exp1,fields_correct_exp1,accuracy_exp1,cost_usd_exp1,files_exp2,fields_total_exp2,fields_correct_exp2,accuracy_exp2,cost_usd_exp2,files_diff,fields_total_diff,fields_correct_diff,accuracy_diff,cost_usd_diff
gpt-4o,20,119,59,0.4958,0.2106,20,119,75,0.6303,0.2473,19,119,73,0.6134,0.2624,-1,0,-2,-0.016900000000000026,0.01510000000000003
gpt-5-mini,20,119,76,0.6387,0.1443,20,119,81,0.6807,0.1201,19,119,83,0.6975,0.1159,-1,0,2,0.016800000000000037,-0.004199999999999995
gpt-5-nano,20,119,58,0.4874,0.0605,20,119,68,0.5714,0.0576,19,119,64,0.5378,0.0583,-1,0,-4,-0.033600000000000074,0.0006999999999999992
gpt-5,20,119,77,0.6471,1.1651,20,119,84,0.7059,1.2176,19,119,87,0.7311,1.2117,-1,0,3,0.0252,-0.005900000000000016
gpt-4o-mini,20,119,40,0.3361,0.2741,20,119,48,0.4034,0.271,20,119,54,0.4538,0.2767,0,0,6,0.0504,0.005699999999999983
