stage,in_tok,out_tok,USD,EUR,secs
meta,1582,359,0.0011,0.001,8.58
common_params,1758,1080,0.0026,0.0024,16.545
cylindrical_params,1134,224,0.0007,0.0007,6.31
TOTAL,,,,0.0041,31.435
WALL,,,,,31.448
