stage,in_tok,out_tok,USD,EUR,secs
meta,2653,807,0.0023,0.0021,14.611
common_params,2829,632,0.002,0.0018,12.469
cylindrical_params,2205,288,0.0011,0.001,8.321
TOTAL,,,,0.0049,35.401
WALL,,,,,35.411
