stage,in_tok,out_tok,USD,EUR,secs
meta,2653,362,0.0014,0.0013,11.949
common_params,2829,1012,0.0027,0.0025,22.714
cylindrical_params,2205,672,0.0019,0.0017,17.965
TOTAL,,,,0.0055,52.628
WALL,,,,,52.649
