stage,in_tok,out_tok,USD,EUR,secs
meta,2682,231,0.0011,0.001,11.169
common_params,2858,1208,0.0031,0.0029,24.77
biconical_params,2831,905,0.0025,0.0023,19.725
TOTAL,,,,0.0062,55.664
WALL,,,,,55.686
