stage,in_tok,out_tok,USD,EUR,secs
meta,2653,1065,0.0028,0.0026,18.98
common_params,2829,1849,0.0044,0.0041,39.908
cylindrical_params,2205,288,0.0011,0.001,7.148
TOTAL,,,,0.0077,66.036
WALL,,,,,66.05
