stage,in_tok,out_tok,USD,EUR,secs
meta,2821,1256,0.0006,0.0006,13.684
common_params,2997,4664,0.002,0.0019,36.905
cylindrical_params,2373,1440,0.0007,0.0006,14.184
TOTAL,,,,0.0031,64.773
WALL,,,,,64.791
