stage,in_tok,out_tok,USD,EUR,secs
meta,1765,31,0.0047,0.0043,5.523
common_params,1831,47,0.005,0.0046,11.77
cylindrical_params,1457,16,0.0038,0.0035,3.176
TOTAL,,,,0.0124,20.469
WALL,,,,,20.481
