stage,in_tok,out_tok,USD,EUR,secs
meta,1180,423,0.0057,0.0052,18.739
common_params,1205,4660,0.0481,0.0443,165.912
cylindrical_params,1076,1568,0.017,0.0157,65.622
TOTAL,,,,0.0652,250.273
WALL,,,,,250.287
