stage,in_tok,out_tok,USD,EUR,secs
meta,2037,485,0.0011,0.001,11.341
common_params,2062,1078,0.0023,0.0021,19.412
conical_params,1969,550,0.0016,0.0015,11.709
TOTAL,,,,0.0046,42.462
WALL,,,,,42.586
