stage,in_tok,out_tok,USD,EUR,secs
meta,1569,1444,0.0164,0.0151,42.897
common_params,1635,1910,0.0211,0.0195,55.812
TOTAL,,,,0.0346,98.709
WALL,,,,,98.721
